CODIGOAPOYO;PINTADOAPOYO;X;Y;CODIGOGEOGRAFICO
19851;1258133;1105168;1280236;67
19852;1258141;1105174;1280234;67
19853;1258150;1105211;1280255;67
19854;1258176;1105215;1280255;67
19855;1258184;1105244;1280265;67
19856;1228706;1105585;1280062;67
19857;1228714;1105579;1280042;67
19862;1312448;1105345;1280651;67
21275;1329251;1105302;1279986;67
21276;1329278;1105304;1280000;67
21277;1329286;1105303;1279987;67
21278;1313185;1105453;1280255;67
21279;1313193;1105442;1280248;67
21280;1313207;1105454;1280229;67
21281;1313215;1105444;1280274;67
21282;1204211;1105758;1280456;67
21283;1329049;1105310;1280020;67
21285;1204220;1105755;1280469;67
21436;1161806;1105348;1280089;67
21437;1161814;1105312;1280071;67
21438;1161822;1105357;1280087;67
23533;1162209;1105655;1280178;67
23534;1162217;1105674;1280160;67
23535;1162225;1105670;1280168;67
23536;1162233;1105667;1280176;67
23537;1162241;1105668;1280185;67
19994;1312804;1105184;1280415;67
19997;1312839;1105172;1280433;67
19998;1312821;1105178;1280432;67
19999;1312928;1105185;1280417;67
20000;1312855;1105182;1280451;67
20001;1312871;1105187;1280452;67
20003;1312723;1105173;1280457;67
20004;1204017;1105807;1280407;67
20005;1312898;1105184;1280479;67
20006;1312901;1105202;1280472;67
20007;2768879;1105188;1280485;67
20008;1204033;1105803;1280392;67
20009;1313029;1105190;1280489;67
20010;1204041;1105806;1280400;67
19599;1228625;1105767;1280126;67
19601;1228641;1105769;1280144;67
19604;1228650;1105783;1280177;67
153123;2797691;1105160;1279953;67
22481;1273701;1105680;1280608;67
22482;1273710;1105679;1280617;67
22484;1273728;1105686;1280595;67
22486;1273736;1105686;1280566;67
22487;1273744;1105685;1280563;67
22488;1273752;1105679;1280529;67
22489;1161890;1105271;1280061;67
22490;1273779;1105684;1280541;67
22491;1161911;1105236;1280061;67
22492;1273787;1105678;1280555;67
21457;1161857;1105282;1280103;67
21458;1161997;1105280;1280102;67
21459;1161873;1105274;1280112;67
21460;1161881;1105273;1280151;67
17631;1227424;1105554;1280418;67
17633;1227432;1105554;1280426;67
18865;1227815;1105423;1280314;67
18866;1227823;1105459;1280285;67
18867;1227831;1105502;1280262;67
18870;1227874;1105354;1280363;67
18871;1227882;1105394;1280330;67
18872;1227891;1105334;1280361;67
18873;1227904;1105415;1280313;67
18874;1227912;1105463;1280284;67
18875;1227921;1105498;1280258;67
19717;1328697;1105547;1280035;67
19718;1328701;1105533;1280034;67
19719;1328719;1105535;1280040;67
19721;1312227;1105669;1280051;67
19722;1312235;1105663;1280063;67
19728;1258001;1105199;1280116;67
19732;1328786;1105810;1280174;67
19733;1328778;1105801;1280167;67
18680;1203291;1105582;1280328;67
18684;1203304;1105612;1280335;67
18685;1203312;1105623;1280328;67
18686;1203321;1105640;1280343;67
18691;1249282;1105405;1280539;67
18692;1249291;1105398;1280538;67
18693;1249304;1105401;1280534;67
18694;1249312;1105409;1280534;67
18700;1203720;1105742;1280299;67
18702;1203738;1105730;1280298;67
18704;1203746;1105725;1280300;67
18707;1203754;1105726;1280320;67
143368;2789922;1105439;1280317;67
733988;3045323;1105477;1280659;67
733989;3045331;1105483;1280643;67
733990;3045340;1105488;1280639;67
22493;1273795;1105681;1280575;67
18161;1227351;1105245;1280345;67
18163;1227378;1105253;1280320;67
18164;1203037;1105471;1280366;67
18165;1203045;1105467;1280350;67
18176;1227394;1105228;1280375;67
18876;1228382;1105530;1280245;67
19738;1312243;1105641;1280048;67
19739;1312251;1105627;1280046;67
19740;1312278;1105632;1280060;67
19741;1328794;1105842;1280189;67
19742;1328808;1105832;1280175;67
19743;1328671;1105562;1280038;67
19744;1328689;1105559;1280036;67
19747;1328832;1105827;1280259;67
19752;1328875;1105751;1280193;67
18715;1228021;1105282;1280177;67
21323;1273299;1105638;1280424;67
21324;1273302;1105622;1280419;67
21325;1273311;1105613;1280430;67
21326;1273329;1105607;1280425;67
22656;1162632;1105682;1280081;67
22657;1162641;1105674;1280110;67
17773;1227335;1105269;1280358;67
17774;1202952;1105438;1280398;67
17776;1202979;1105423;1280415;67
17777;1227343;1105265;1280364;67
17778;1202987;1105421;1280452;67
18178;1227408;1105237;1280327;67
18179;1227416;1105237;1280303;67
19478;1203835;1105643;1280271;67
19479;1203843;1105653;1280277;67
20016;4947533;1105234;1280496;67
20017;1312995;1105242;1280485;67
19881;1203924;1105737;1280326;67
19882;1228439;1105411;1280297;67
19883;1203851;1105723;1280323;67
19884;1312456;1105353;1280705;67
19885;1312472;1105350;1280708;67
19886;1203932;1105762;1280351;67
19887;1228447;1105395;1280314;67
19888;1203941;1105791;1280363;67
19889;1203959;1105808;1280368;67
19890;1203975;1105806;1280349;67
21327;1273337;1105624;1280411;67
21328;1273345;1105624;1280382;67
21329;1273353;1105637;1280357;67
21330;1273370;1105617;1280371;67
21331;1273388;1105623;1280367;67
21334;1258206;1105248;1280258;67
21335;1258214;1105256;1280236;67
21336;1258222;1105268;1280203;67
21337;1258231;1105174;1280216;67
21338;1258249;1105177;1280206;67
21339;1258257;1105176;1280212;67
21340;1258273;1105181;1280165;67
21342;1258290;1105196;1280143;67
21343;1258303;1105204;1280148;67
21344;1258311;1105201;1280159;67
21345;1258320;1105217;1280144;67
21346;1313304;1105461;1280163;67
21347;1313312;1105474;1280146;67
21348;1258338;1105217;1280147;67
21354;1258346;1105226;1280165;67
21355;1258354;1105229;1280159;67
21356;1258371;1105234;1280173;67
21357;1258389;1105246;1280159;67
21358;1258397;1105240;1280152;67
21359;1309277;1105241;1280159;67
18790;1311981;1105326;1280578;67
