CODIGOTRAMOBT;X1;Y1;X2;Y2;LONGITUD;ACOMETIDA
215863;473056;1558450;473095;1558423;0;S
215866;473070;1558573;473084;1558582;0;S
215869;473065;1558649;473077;1558625;0;S
215872;473108;1558980;473089;1558928;0;S
215875;473118;1558952;473093;1558946;0;N
215878;473044;1559424;473079;1559446;0;N
215881;473083;1559163;473081;1559143;0;S
215884;473048;1560162;473064;1560117;0;N
215887;473096;1553713;473063;1553713;0;N
215890;473062;1556349;473095;1556361;0;S
215893;473082;1556420;473054;1556405;0;S
215896;473066;1557592;473094;1557638;0;S
215899;473099;1557821;473059;1557792;0;S
215902;473109;1558387;473058;1558395;0;S
215905;473098;1558482;473078;1558533;0;S
215908;473024;1561124;473088;1561200;0;N
215911;473056;1562341;473078;1562347;0;S
215914;473060;1556472;473087;1556433;0;S
215917;473042;1556531;473104;1556483;0;S
215920;473070;1556548;473080;1556561;0;S
215923;473045;1556734;473064;1556697;0;S
215926;473052;1558241;473091;1558237;0;S
215929;473073;1558419;473063;1558398;0;S
215932;473051;1558560;473088;1558576;0;S
215935;473091;1558581;473082;1558556;0;S
215938;473056;1558651;473070;1558640;0;S
215941;473053;1558658;473075;1558648;0;S
215944;473062;1558736;473076;1558766;0;N
215947;473096;1561223;473077;1561240;0;S
215950;473064;1556627;473061;1556597;0;S
215953;473032;1556289;473056;1556216;0;N
215956;473094;1556229;473080;1556223;0;N
215959;473131;1557012;473095;1557028;0;N
215962;473090;1557753;473074;1557751;0;S
215965;473061;1558781;473066;1558802;0;N
215968;473087;1558847;473077;1558883;0;S
215971;473085;1559227;473068;1559237;0;S
215974;473078;1559482;473070;1559513;0;N
215977;473054;1561079;473090;1561127;0;S
215980;473055;1556494;473081;1556530;0;S
215983;473105;1556580;473098;1556558;0;S
215986;473094;1557723;473069;1557743;0;S
215989;473110;1558166;473104;1558164;0;S
215992;473098;1558401;473086;1558406;0;N
215995;473070;1558494;473075;1558476;0;S
215998;473081;1558488;473106;1558470;0;S
216001;473086;1558481;473062;1558471;0;S
216004;473078;1558689;473064;1558654;0;S
216007;473078;1558827;473079;1558826;0;S
216010;473070;1559193;473107;1559189;0;S
216013;473091;1556604;473076;1556587;0;S
216016;473061;1556274;473057;1556303;0;S
216019;473076;1556481;473074;1556488;0;S
216022;473066;1556756;473107;1556730;0;S
216025;473106;1556774;473108;1556771;0;S
216028;473101;1558555;473066;1558517;0;S
216031;473137;1559051;473074;1558982;0;S
216034;473150;1559083;473091;1558986;0;S
216037;473065;1559165;473070;1559109;0;S
216040;473107;1553419;473081;1553439;0;S
216043;473083;1553933;473063;1553936;0;S
216046;473074;1557714;473079;1557681;0;S
216049;473062;1556365;473107;1556333;0;S
216052;473081;1556371;473085;1556359;0;S
216055;473082;1557756;473065;1557782;0;S
216058;473111;1557832;473076;1557843;0;S
216061;473111;1558401;473103;1558411;0;S
216064;473069;1558688;473114;1558687;0;S
216067;473087;1558843;473106;1558867;0;S
216070;473033;1559228;473070;1559229;0;N
216073;473069;1562381;473068;1562408;0;S
216076;473073;1553551;473104;1553559;0;S
216079;473105;1553527;473071;1553568;0;S
216082;473053;1556264;473096;1556282;0;S
216085;473067;1558240;473077;1558242;0;S
216088;473113;1558513;473099;1558485;0;S
216091;473064;1558922;473114;1558917;0;S
216094;473111;1559144;473109;1559170;0;S
216097;473084;1559202;473109;1559153;0;N
216100;473093;1562548;473114;1562563;0;N
216103;473094;1553696;473078;1553675;0;S
216106;473088;1553605;473102;1553581;0;S
216109;473114;1553236;473081;1553247;0;N
216112;473063;1553478;473080;1553521;0;N
216115;473047;1555345;473081;1555399;0;N
216118;473057;1555329;473065;1555417;0;N
216121;473046;1556600;473082;1556590;0;S
216124;473105;1557794;473114;1557781;0;S
216127;473048;1558176;473112;1558190;0;N
216130;473071;1558808;473103;1558820;0;N
216133;473087;1558889;473068;1558887;0;S
216136;473105;1559296;473114;1559305;0;S
216139;473115;1559312;473066;1559333;0;S
216142;473060;1559148;473077;1559156;0;S
216145;473049;1554274;473090;1554267;0;S
216148;473102;1553668;473106;1553672;0;S
216151;473095;1556259;473104;1556275;0;S
216154;473126;1556343;473115;1556349;0;N
216157;473097;1556358;473109;1556389;0;S
216160;473110;1556775;473068;1556786;0;S
216163;473076;1558680;473100;1558719;0;S
216166;473108;1558893;473107;1558915;0;S
216169;473070;1558974;473086;1558931;0;S
216172;473063;1559126;473066;1559130;0;N
216175;473053;1559160;473112;1559143;0;S
216178;473084;1559229;473117;1559231;0;S
216181;473088;1559299;473095;1559283;0;S
216184;473118;1559309;473087;1559292;0;S
216187;473112;1553927;473064;1553945;0;N
216190;473077;1556441;473106;1556445;0;S
216193;473059;1556696;473090;1556677;0;S
216196;473081;1558403;473091;1558360;0;S
216199;473091;1558464;473114;1558467;0;S
216202;473121;1558518;473105;1558494;0;S
216205;473114;1558623;473087;1558602;0;S
216208;473052;1558749;473063;1558731;0;S
216211;473109;1558865;473093;1558912;0;N
216214;473068;1558885;473107;1558927;0;S
216217;473105;1559231;473101;1559225;0;S
216220;473080;1559289;473117;1559269;0;S
216223;473092;1554260;473066;1554306;0;N
216226;473093;1556494;473071;1556548;0;S
216229;473142;1556578;473108;1556561;0;N
216232;473114;1556783;473064;1556790;0;S
216235;473069;1558138;473078;1558161;0;S
216238;473127;1558207;473117;1558189;0;S
216241;473065;1558428;473083;1558440;0;S
216244;473053;1558438;473067;1558465;0;S
216247;473122;1558573;473072;1558578;0;N
216250;473111;1559195;473081;1559181;0;S
216253;473099;1559317;473066;1559303;0;S
216256;473103;1559308;473077;1559366;0;S
216259;473110;1559296;473097;1559300;0;S
216262;473086;1559300;473107;1559314;0;S
216265;473120;1556469;473100;1556479;0;S
216268;473117;1556480;473066;1556492;0;S
216271;473096;1556642;473077;1556622;0;N
216274;473094;1557777;473082;1557752;0;S
216277;473053;1558744;473099;1558721;0;S
216280;473085;1558737;473099;1558732;0;S
216283;473091;1558709;473103;1558741;0;S
216286;473107;1559118;473109;1559159;0;S
216289;473074;1557707;473113;1557702;0;S
216292;473120;1553426;473067;1553411;0;S
216295;473073;1556212;473105;1556221;0;S
216298;473140;1556337;473111;1556360;0;S
216301;473059;1556524;473091;1556549;0;S
216304;473076;1556639;473083;1556602;0;S
216307;473090;1558169;473072;1558136;0;S
216310;473086;1558259;473101;1558243;0;S
216313;473103;1558408;473071;1558384;0;S
216316;473090;1558507;473097;1558526;0;S
216319;473068;1558755;473077;1558750;0;S
216322;473129;1559254;473071;1559268;0;N
216325;473100;1559336;473099;1559269;0;N
216328;473108;1559316;473095;1559327;0;S
216331;473093;1559323;473109;1559338;0;S
216334;473062;1560089;473086;1560037;0;N
216337;473086;1553439;473083;1553392;0;S
216340;473068;1553414;473084;1553385;0;N
216343;473104;1556232;473081;1556214;0;S
216346;473102;1556298;473090;1556317;0;S
216349;473084;1556406;473082;1556386;0;S
216352;473072;1556542;473067;1556534;0;S
216355;473076;1556750;473116;1556733;0;S
216358;473084;1557690;473111;1557696;0;S
216361;473061;1558743;473108;1558735;0;S
216364;473079;1558839;473102;1558886;0;N
216367;473138;1559078;473105;1558992;0;S
216370;473095;1559199;473083;1559217;0;S
216373;473127;1559333;473083;1559368;0;S
216376;473078;1557807;473084;1557771;0;S
216379;473080;1558186;473101;1558196;0;S
216382;473107;1558450;473076;1558477;0;S
216385;473073;1558957;473078;1558927;0;S
216388;473193;1559065;473081;1559018;0;S
216391;473098;1556829;473089;1556805;0;S
216394;473133;1556469;473070;1556402;0;N
216397;473107;1556372;473094;1556401;0;N
216400;473080;1556422;473099;1556444;0;S
216403;473102;1556436;473116;1556506;0;N
216406;473093;1556551;473110;1556569;0;S
216409;473079;1556752;473107;1556760;0;S
216412;473105;1556780;473069;1556776;0;S
216415;473062;1558256;473104;1558241;0;S
216418;473131;1558338;473103;1558340;0;S
216421;473076;1558398;473090;1558428;0;S
216424;473064;1558812;473070;1558778;0;S
216427;473104;1559445;473069;1559457;0;S
216430;473084;1556861;473075;1556885;0;S
216433;473096;1558954;473073;1558909;0;S
216436;473111;1553334;473073;1553401;0;S
216439;473090;1554824;473122;1554778;0;S
216442;473106;1553880;473070;1553931;0;N
216445;473115;1556341;473086;1556332;0;S
216448;473101;1556350;473075;1556373;0;S
216451;473065;1556538;473113;1556545;0;S
216454;473112;1557691;473076;1557734;0;S
216457;473076;1557753;473119;1557798;0;S
216460;473108;1558550;473104;1558613;0;S
216463;473085;1558813;473121;1558806;0;S
216466;473117;1558884;473107;1558899;0;S
216469;473099;1559136;473098;1559125;0;S
216472;473071;1559294;473119;1559285;0;S
